FID IID B1
0 HG02971 1 
0 HG02973 1 
0 HG02974 1 
0 HG02976 1 
0 HG02977 1 
0 HG02979 1 
0 HG02981 1 
0 HG02982 1 
0 HG02983 1 
0 HG03024 1 
0 HG03025 1 
0 HG03027 1 
0 HG03028 1 
0 HG03039 1 
0 HG03040 1 
0 HG03045 1 
0 HG03046 1 
0 HG03048 1 
0 HG03049 1 
0 HG03052 1 
0 HG03054 1 
0 HG03055 1 
0 HG03057 1 
0 HG03058 1 
0 HG03060 1 
0 HG03061 1 
0 HG03063 1 
0 HG03064 1 
0 HG03066 1 
0 HG03069 1 
0 HG03072 1 
0 HG03073 1 
0 HG03074 1 
0 HG03077 1 
0 HG03078 1 
0 HG03079 1 
0 HG03081 1 
0 HG03082 1 
0 HG03084 1 
0 HG03085 1 
0 HG03086 1 
0 HG03088 1 
0 HG03091 1 
0 HG03095 1 
0 HG03096 1 
0 HG03097 1 
0 HG03099 1 
0 HG03100 1 
0 HG03103 1 
0 HG03105 1 
0 HG03108 1 
0 HG03109 1 
0 HG03111 1 
0 HG03112 1 
0 HG03114 1 
0 HG03115 1 
0 HG03117 1 
0 HG03118 1 
0 HG03120 1 
0 HG03121 1 
0 HG03123 1 
0 HG03124 1 
0 HG03126 1 
0 HG03127 1 
0 HG03129 1 
0 HG03130 1 
0 HG03132 1 
0 HG03133 1 
0 HG03135 1 
0 HG03136 1 
0 HG03139 1 
0 HG03157 1 
0 HG03159 1 
0 HG03160 1 
0 HG03162 1 
0 HG03163 1 
0 HG03166 1 
0 HG03168 1 
0 HG03169 1 
0 HG03172 1 
0 HG03175 1 
0 HG03189 1 
0 HG03190 1 
0 HG03193 1 
0 HG03195 1 
0 HG03196 1 
0 HG03198 1 
0 HG03199 1 
0 HG03202 1 
0 HG03209 1 
0 HG03212 1 
0 HG03224 1 
0 HG03225 1 
0 HG03240 1 
0 HG03241 1 
0 HG03246 1 
0 HG03247 1 
0 HG03258 1 
0 HG03259 1 
0 HG03265 1 
0 HG03267 1 
0 HG03268 1 
0 HG03270 1 
0 HG03271 1 
0 HG03279 1 
0 HG03280 1 
0 HG03291 1 
0 HG03294 1 
0 HG03295 1 
0 HG03297 1 
0 HG03298 1 
0 HG03300 1 
0 HG03301 1 
0 HG03303 1 
0 HG03304 1 
0 HG03311 1 
0 HG03313 1 
0 HG03342 1 
0 HG03343 1 
0 HG03351 1 
0 HG03352 1 
0 HG03354 1 
0 HG03363 1 
0 HG03366 1 
0 HG03367 1 
0 HG03369 1 
0 HG03370 1 
0 HG03372 1 
0 HG03376 1 
0 HG03378 1 
0 HG03380 1 
0 HG03382 1 
0 HG03385 1 
0 HG03388 1 
0 HG03391 1 
0 HG03394 1 
0 HG03397 1 
0 HG03401 1 
0 HG03410 1 
0 HG03419 1 
0 HG03428 1 
0 HG03432 1 
0 HG03433 1 
0 HG03436 1 
0 HG03437 1 
0 HG03439 1 
0 HG03442 1 
0 HG03445 1 
0 HG03446 1 
0 HG03449 1 
0 HG03451 1 
0 HG03452 1 
0 HG03455 1 
0 HG03457 1 
0 HG03458 1 
0 HG03460 1 
0 HG03461 1 
0 HG03464 1 
0 HG03469 1 
0 HG03470 1 
0 HG03472 1 
0 HG03473 1 
0 HG03476 1 
0 HG03478 1 
0 HG03479 1 
0 HG03484 1 
0 HG03485 1 
0 HG03499 1 
0 HG03511 1 
0 HG03514 1 
0 HG03515 1 
0 HG03517 1 
0 HG03518 1 
0 HG03520 1 
0 HG03521 1 
0 HG03538 1 
0 HG03539 1 
0 HG03547 1 
0 HG03548 1 
0 HG03556 1 
0 HG03557 1 
0 HG03558 1 
0 HG03559 1 
0 HG03563 1 
0 HG03565 1 
0 HG03567 1 
0 HG03571 1 
0 HG03572 1 
0 HG03575 1 
0 HG03577 1 
0 HG03578 1 
0 HG03583 1 
0 NA18486 1 
0 NA18488 1 
0 NA18489 1 
0 NA18498 1 
0 NA18499 1 
0 NA18501 1 
0 NA18502 1 
0 NA18504 1 
0 NA18505 1 
0 NA18507 1 
0 NA18508 1 
0 NA18510 1 
0 NA18511 1 
0 NA18516 1 
0 NA18517 1 
0 NA18519 1 
0 NA18520 1 
0 NA18522 1 
0 NA18523 1 
0 NA18853 1 
0 NA18856 1 
0 NA18858 1 
0 NA18861 1 
0 NA18864 1 
0 NA18865 1 
0 NA18867 1 
0 NA18868 1 
0 NA18870 1 
0 NA18871 1 
0 NA18873 1 
0 NA18874 1 
0 NA18876 1 
0 NA18877 1 
0 NA18878 1 
0 NA18879 1 
0 NA18881 1 
0 NA18907 1 
0 NA18908 1 
0 NA18909 1 
0 NA18910 1 
0 NA18912 1 
0 NA18915 1 
0 NA18916 1 
0 NA18917 1 
0 NA18923 1 
0 NA18924 1 
0 NA18933 1 
0 NA18934 1 
0 NA19017 1 
0 NA19019 1 
0 NA19020 1 
0 NA19023 1 
0 NA19024 1 
0 NA19025 1 
0 NA19026 1 
0 NA19027 1 
0 NA19028 1 
0 NA19030 1 
0 NA19031 1 
0 NA19035 1 
0 NA19036 1 
0 NA19037 1 
0 NA19038 1 
0 NA19041 1 
0 NA19042 1 
0 NA19043 1 
0 NA19092 1 
0 NA19093 1 
0 NA19095 1 
0 NA19096 1 
0 NA19098 1 
0 NA19099 1 
0 NA19102 1 
0 NA19107 1 
0 NA19108 1 
0 NA19113 1 
0 NA19114 1 
0 NA19116 1 
0 NA19117 1 
0 NA19118 1 
0 NA19119 1 
0 NA19121 1 
0 NA19129 1 
0 NA19130 1 
0 NA19131 1 
0 NA19137 1 
0 NA19138 1 
0 NA19141 1 
0 NA19143 1 
0 NA19144 1 
0 NA19146 1 
0 NA19147 1 
0 NA19149 1 
0 NA19152 1 
0 NA19153 1 
0 NA19159 1 
0 NA19160 1 
0 NA19171 1 
0 NA19172 1 
0 NA19175 1 
0 NA19184 1 
0 NA19185 1 
0 NA19189 1 
0 NA19190 1 
0 NA19197 1 
0 NA19198 1 
0 NA19200 1 
0 NA19201 1 
0 NA19204 1 
0 NA19206 1 
0 NA19207 1 
0 NA19209 1 
0 NA19210 1 
0 NA19213 1 
0 NA19214 1 
0 NA19222 2
0 NA19223 2
0 NA19225 2
0 NA19235 2
0 NA19236 2
0 NA19238 2
0 NA19239 2
0 NA19247 2
0 NA19248 2
0 NA19256 2
0 NA19257 2
0 NA19307 2
0 NA19308 2
0 NA19309 2
0 NA19310 2
0 NA19312 2
0 NA19314 2
0 NA19315 2
0 NA19316 2
0 NA19317 2
0 NA19318 2
0 NA19319 2
0 NA19320 2
0 NA19321 2
0 NA19323 2
0 NA19324 2
0 NA19327 2
0 NA19328 2
0 NA19331 2
0 NA19332 2
0 NA19334 2
0 NA19338 2
0 NA19346 2
0 NA19347 2
0 NA19350 2
0 NA19351 2
0 NA19355 2
0 NA19360 2
0 NA19372 2
0 NA19374 2
0 NA19375 2
0 NA19376 2
0 NA19377 2
0 NA19378 2
0 NA19379 2
0 NA19380 2
0 NA19383 2
0 NA19384 2
0 NA19385 2
0 NA19390 2
0 NA19391 2
0 NA19393 2
0 NA19394 2
0 NA19395 2
0 NA19397 2
0 NA19399 2
0 NA19401 2
0 NA19403 2
0 NA19404 2
0 NA19428 2
0 NA19429 2
0 NA19430 2
0 NA19431 2
0 NA19434 2
0 NA19435 2
0 NA19436 2
0 NA19437 2
0 NA19438 2
0 NA19439 2
0 NA19440 2
0 NA19443 2
0 NA19445 2
0 NA19446 2
0 NA19448 2
0 NA19449 2
0 NA19451 2
0 NA19452 2
0 NA19454 2
0 NA19455 2
0 NA19456 2
0 NA19457 2
0 NA19461 2
0 NA19462 2
0 NA19463 2
0 NA19466 2
0 NA19467 2
0 NA19468 2
0 NA19471 2
0 NA19472 2
0 NA19473 2
0 NA19474 2
0 NA19475 2
0 NA19625 2
0 NA19700 2
0 NA19701 2
0 NA19703 2
0 NA19704 2
0 NA19707 2
0 NA19711 2
0 NA19712 2
0 NA19713 2
0 NA19818 2
0 NA19819 2
0 NA19834 2
0 NA19835 2
0 NA19900 2
0 NA19901 2
0 NA19904 2
0 NA19908 2
0 NA19909 2
0 NA19913 2
0 NA19914 2
0 NA19916 2
0 NA19917 2
0 NA19920 2
0 NA19921 2
0 NA19922 2
0 NA19923 2
0 NA19982 2
0 NA19984 2
0 NA20126 2
0 NA20127 2
0 NA20274 2
0 NA20276 2
0 NA20278 2
0 NA20281 2
0 NA20282 2
0 NA20287 2
0 NA20289 2
0 NA20291 2
0 NA20294 2
0 NA20296 2
0 NA20298 2
0 NA20299 2
0 NA20314 2
0 NA20317 2
0 NA20318 2
0 NA20320 2
0 NA20321 2
0 NA20332 2
0 NA20334 2
0 NA20339 2
0 NA20340 2
0 NA20342 2
0 NA20346 2
0 NA20348 2
0 NA20351 2
0 NA20355 2
0 NA20356 2
0 NA20357 2
0 NA20359 2
0 NA20362 2
0 NA20412 2
